,Link,Titel
0,/radio-srf-3/aktuell/serientipp-5-gruende-warum-dich-die-serie-babylon-berlin-umhauen-wird,"5 Gründe, warum die Serie «Babylon Berlin» total begeistert"
1,/sendungen/hallosrf/kann-man-babylon-berlin-auch-zeitversetzt-schauen,Kann man «Babylon Berlin» auch zeitversetzt schauen?
2,/news/panorama/franzoesischer-frank-sinatra-charles-aznavour-ist-tot,Charles Aznavour ist tot
3,/sport/fussball/champions-league/turbulenzen-bei-yb-gegner-ceo-von-juventus-geht-geruechte-um-zidane-mehren-sich,CEO von Juventus geht – Gerüchte um Zidane mehren sich
4,/sport/fussball/internationale-ligen/neuerdings-unbestrittene-nr-1-roman-buerki-vom-risikofaktor-zum-bollwerk,Roman Bürki: Vom Risikofaktor zum Bollwerk
5,/sport/fussball/internationale-ligen/fussball-weekend-in-bildern-slapstick-sixpack-sonntagsschuss,"Slapstick, Sixpack, Sonntagsschuss!"
6,/news/panorama/aktivierung-des-immunsystems-nobelpreis-fuer-meilenstein-im-kampf-gegen-krebs,Nobelpreis für Meilenstein im Kampf gegen Krebs
7,/news/regional/zuerich-schaffhausen/an-nur-prozess-in-winterthur-beschuldigte-weisen-alle-vorwuerfe-zurueck,Beschuldigte weisen alle Vorwürfe zurück
8,/sport/eishockey/6-fragen-vor-bern-new-jersey-die-grosse-vorfreude-auf-die-menschenwand,Die grosse Vorfreude auf die «Menschenwand»
9,/sport/fussball/internationale-ligen/fussball-news-traumlos-fuer-fcz-frauen,Traumlos für FCZ-Frauen
10,/sport/mehr-sport/olympische-spiele/ruecktritt-vom-ruecktritt-italien-kandidiert-nun-doch-fuer-2026,Italien kandidiert nun doch für 2026
11,/radio-srf-virus/aktuell/pilzsammeln-mit-diesen-tipps-wirst-du-pilzsammler-pro,Mit diesen Tipps wirst du Pilzsammler-Pro
12,/sendungen/ratgeber/augen-auf-beim-pilze-sammeln,Augen auf beim Pilze sammeln
13,/kultur/wissen/erfindung-des-donut-lochs-wie-der-heisshunger-der-amerikaner-die-donuts-loecherte,Wie der Heisshunger der Amerikaner die Donuts löcherte
14,/kultur/wissen/food-und-forschung-wieviel-gentechnik-steckt-in-unserem-essen,Wieviel Gentechnik steckt in unserem Essen?
15,/sendungen/a-point/fast-food-erster-guete-french-toast-mit-etivaz,Fast Food erster Güte: French Toast mit Etivaz
16,/kultur/gesellschaft-religion/wochenende-gesellschaft/digital-detox-digitale-entgiftung-wird-uns-nicht-heilen,Digitale Entgiftung wird uns nicht heilen
17,/kultur/gesellschaft-religion/wochenende-gesellschaft/arena-reporter-legt-das-handy-weg,Legt das Handy weg!
18,/kultur/gesellschaft-religion/wochenende-gesellschaft/leben-ohne-smartphone-lass-dich-druecken-dummerchen,"Lass dich drücken, Dummerchen"
19,/sendungen/dok/mit-ursula-brunner-bekam-das-elend-am-platzspitz-ein-gesicht,Mit Ursula Brunner bekam das Elend am Platzspitz ein Gesicht
20,/radio-srf-1/radio-srf-1/lang-ist-s-her-vor-50-jahren-wurde-das-schweizer-fernsehen-farbig,Vor 50 Jahren wurde das Schweizer Fernsehen farbig
21,/tv/allgemein/es-werde-farbe-50-jahre-farbfernsehen,Es werde Farbe! – 50 Jahre Farbfernsehen
22,/radio-srf-3/aktuell/max-hubacher-ueber-seine-rolle-als-psychisch-kranker,Max Hubacher über seine Rolle als psychisch Kranker
23,/kultur/film-serien/filmfestival-zuerich/14-zurich-film-festival-der-mensch-hinter-dem-mitternachtsmoerder,Der Mensch hinter dem «Mitternachtsmörder»
24,/kultur/film-serien/filmfestival-zuerich/14-zurich-film-festival-subito-das-sofortbild-polaroid-ist-zurueck-auch-im-kino,«Subito – Das Sofortbild»: Polaroid ist zurück – auch im Kino!
25,/radio-srf-virus/true-talk/true-life-ich-bin-es-gewohnt-dass-mich-menschen-komisch-anschauen,"«Ich bin es gewohnt, dass mich Menschen komisch anschauen!»"
26,/radio-srf-virus/true-talk/true-life-ich-sehe-immer-nur-aersche-beine-und-fuesse,"«Ich sehe immer nur Ärsche, Beine und Füsse»"
27,/radio-srf-1/die-buchkoenig-bloggt/die-buchkoenig-bloggt-von-diesem-georgier-kriege-ich-den-flattermann,Von diesem Georgier kriege ich den Flattermann
28,/radio-srf-1/die-buchkoenig-bloggt/die-buchkoenig-bloggt-wegen-marlene-bleibt-philippe-djian-kult-fuer-mich,Wegen «Marlène» bleibt Philippe Djian Kult für mich!
29,/radio-srf-virus/games/game-review-wo-tomb-raider-drauf-steht-ist-lara-croft-drin,"Wo Tomb Raider drauf steht, ist Lara Croft drin"
30,/radio-srf-virus/games/game-review-das-beste-spider-man-spiel-aller-zeiten,Das beste Spider-Man-Spiel aller Zeiten
31,/radio-srf-virus/games/game-review-retimed-dieses-schweizer-game-begeistert-alle,«Retimed»: Dieses Schweizer Game begeistert alle
32,https://www.srf.ch/play/tv/-/video/-?id=6fe51a4d-aea7-4750-8826-7fd9ec8f490a,Die höchste Dreiseilbahn der Welt ist eröffnet
33,https://www.srf.ch/play/tv/-/video/-?id=7d8bad26-ac54-4bf6-b6e7-e0bb4bdaaa39,Lugano trotzt dem FC Basel einen Punkt ab
34,https://www.srf.ch/play/tv/-/video/-?id=001013c7-9f27-409d-9fad-6a23673cae82,Donald Trump macht eine Liebeserklärung
35,https://www.srf.ch/play/tv/-/video/-?id=990a2071-6a31-4224-ad01-dd5873996766,"Tagesschau vom 30.09.2018, 19:30"
36,https://www.srf.ch/play/tv/-/video/-?id=130c18f5-e2f1-45b4-a09d-96af077cc723,Die Zahl der Opfer steigt
37,https://www.srf.ch/play/tv/-/video/-?id=f624150b-9958-4f26-9b5b-b5e8758be526,Eindrückliche Bilder in der «Höll» kurz vor dem Ziel
38,https://www.srf.ch/play/tv/-/video/-?id=8e9cd1b8-77e7-40b6-8201-db5806d35f61,Sion ist dank einem Sieg in Luzern nicht mehr das Schlusslicht
39,https://www.srf.ch/play/tv/-/video/-?id=b7e5864b-717b-4331-af33-17b5b3cdd66e,Meteo am Mittag vom 01.10.2018
40,https://www.srf.ch/play/tv/-/video/-?id=54a91a58-0a36-43ad-b5dc-15eb4afd6990,Tagesschau Mittag vom 01.10.2018
41,https://www.srf.ch/play/tv/-/video/-?id=9c9d32ea-a2e8-40b6-a9f2-6715d5dc624b,Lena - Liebe meines Lebens vom 01.10.2018
42,https://www.srf.ch/play/tv/-/video/-?id=2ddd8555-f498-4ae0-946b-ad67ea2d2a9d,Drohnen am Frankfurter Nachthimmel
43,https://www.srf.ch/play/tv/-/video/-?id=ce290da6-b019-4211-ae0f-35b8254a137c,Wieso muss der Mensch Wasser trinken?
44,https://www.srf.ch/play/tv/-/video/-?id=c98e6a23-6f7e-4067-b3f5-26296f984078,Sanogo: «Wir sind nicht nervös»
45,https://www.srf.ch/play/tv/-/video/-?id=f7479c48-cdff-42eb-85fa-f1896ea74625,Fassnacht: «Wir müssen realistisch bleiben.»
46,https://www.srf.ch/play/tv/-/video/-?id=6fe51a4d-aea7-4750-8826-7fd9ec8f490a,Die höchste Dreiseilbahn der Welt ist eröffnet
47,https://www.srf.ch/play/tv/-/video/-?id=130c18f5-e2f1-45b4-a09d-96af077cc723,Die Zahl der Opfer steigt
48,https://www.srf.ch/play/tv/-/video/-?id=691802a1-3db3-4f56-acc3-0a5b0df1b4b4,Babylon Berlin (Folge 1/16)
49,https://www.srf.ch/play/tv/-/video/-?id=54a91a58-0a36-43ad-b5dc-15eb4afd6990,Tagesschau Mittag vom 01.10.2018
50,https://www.srf.ch/play/tv/-/video/-?id=c98e6a23-6f7e-4067-b3f5-26296f984078,Sanogo: «Wir sind nicht nervös»
51,https://www.srf.ch/play/tv/-/video/-?id=b1a0502a-4841-4ec5-af74-119b864ed53d,Steffi Graf macht den Golden Slam perfekt
52,https://www.srf.ch/play/tv/-/video/-?id=f7479c48-cdff-42eb-85fa-f1896ea74625,Fassnacht: «Wir müssen realistisch bleiben.»
